bls302_code,name_de,name_en,kcal_100g,water_g_100g,protein_g_100g,fat_g_100g,carb_g_100g,fiber_g_100g,sodium_mg_100g
B253000,Graubrot-Weizenmischtoastbrot mit Schrotanteilen,Brown bread - mixed wheat toast with coarse meal,252,35.298,8.539,3.449,45.928,4.6,432
B254000,Graubrot-Weizenmischtoastbrot,Brown bread - mixed wheat toast,253,35.251,8.577,3.397,46.293,4.32,432
B254072,Graubrot-Weizenmischtoastbrot geröstet,Brown bread - mixed wheat toast toasted,258,34.088,8.731,3.458,47.124,4.398,440
B255100,Graubrot-Weizenmischbrot mit Soja,Brown bread - mixed wheat bread with soya,243,36.22,10.471,2.743,43.305,5.59,462
B255200,Graubrot-Weizenmischbrot mit Kleie,Brown bread - mixed wheat bread with bran,233,36.688,9.022,1.689,44.675,6.554,471
B255400,Graubrot-Weizenmischbrot mit Rosinen,Brown bread - mixed wheat bread with raisins,242,36.608,8.113,1.436,48.024,4.354,460
B255500,Graubrot-Weizenmischbrot mit Zwiebeln,Brown bread - mixed wheat bread with onions,229,40.118,8.359,1.471,44.868,4.183,482
B255600,Graubrot-Weizenmischbrot mit Gewürzen,Brown bread - mixed wheat bread with spices,239,37.644,8.569,1.574,46.73,4.335,483
B255700,Graubrot-Weizenmischbrot mit Kümmel,Brown bread - mixed wheat bread with caraway seeds,241,37.341,8.988,1.957,45.963,4.565,483
B255800,Graubrot-Weizenmischbrot mit Malz,Brown bread - mixed wheat bread with malt,238,37.974,8.403,1.491,47.017,4.11,480
B256000,Graubrot-Weizenmischbrot mit Ölsamenzutaten,Brown bread - mixed wheat bread with oilseeds,254,35.76,9.906,3.35,45.412,4.393,462
B256100,Graubrot-Weizenmischbrot mit Weizenkeimen,Brown bread - mixed wheat bread with wheat germ,244,34.848,10.433,2.213,44.845,5.497,454
B256200,Graubrot-Weizenmischbrot mit Leinsamen,Brown bread - mixed wheat bread with linseeds,252,36.036,9.622,4.106,43.41,5.644,466
B256300,Graubrot-Weizenmischbrot mit Sesam,Brown bread - mixed wheat bread with sesame seeds,261,35.632,9.52,5.135,43.594,4.791,465
B256400,Graubrot-Weizenmischbrot mit Mohn,Brown bread - mixed wheat bread with poppy seeds,247,36.711,9.293,3.34,44.378,5.008,477
B256500,Graubrot-Weizenmischbrot mit Sonnenblumenkernen,Brown bread - mixed wheat bread with sunflower seeds,254,35.76,9.906,3.35,45.412,4.393,462
B256600,Graubrot-Weizenmischbrot mit Mandeln,Brown bread - mixed wheat bread with almonds,262,35.821,9.751,5.329,43.259,4.804,462
B257100,Graubrot-Weizenmischbrot mit Milch,Brown bread - mixed wheat bread with milk,240,37.299,8.653,1.992,45.951,3.933,432
B257200,Graubrot-Weizenmischbrot mit Sauermilch,Brown bread - mixed wheat bread with soured milk,226,39.824,7.934,1.183,45.078,3.956,424
B257300,Graubrot-Weizenmischbrot mit Buttermilch,Brown bread - mixed wheat bread with buttermilk,224,40.073,7.949,0.892,45.104,3.958,426
B257400,Graubrot-Weizenmischbrot mit Joghurt,Brown bread - mixed wheat bread with yogurt,227,39.725,7.98,1.207,45.103,3.955,424
B257500,Graubrot-Weizenmischbrot mit Kefir,Brown bread - mixed wheat bread with kefir,226,39.833,7.928,1.184,45.06,3.958,425
B257600,Graubrot-Weizenmischbrot mit Molke,Brown bread - mixed wheat bread with whey,223,40.333,7.692,0.865,45.199,3.961,425
B257700,Graubrot-Weizenmischbrot mit Quark,Brown bread - mixed wheat bread with quark,225,39.82,8.481,0.858,44.896,3.956,422
B257800,Graubrot-Weizenmischbrot mit Milcheiweiß,Brown bread - mixed wheat bread with milk protein,243,36.504,9.986,1.486,46.487,4.057,502
B258400,Graubrot-Weizenmischbrot mit Butter,Brown bread - mixed wheat bread with butter,260,37.225,8.232,5.404,44.091,4.076,475
B259000,Graubrot-Weizenmischbrot mit Kürbiskernen,Brown bread - mixed wheat bread with pumpkin seed,271,31.816,10.598,3.806,47.837,4.833,516
B271000,Graubrot-Roggenmischbrot,Brown bread - mixed rye bread,225,37.6,7.38,0.97,45.85,6.1,588
B271072,Graubrot-Roggenmischbrot geröstet,Brown bread - mixed rye bread toasted,229,36.405,7.521,0.989,46.728,6.217,599
B271082,Graubrot-Roggenmischbrot gebraten (zubereitet ohne Fett),Brown bread - mixed rye bread fried (prepared without fat),225,37.6,7.38,0.97,45.85,6.1,588
B272000,Graubrot-Roggenmischbrot mit Schrotanteilen,Brown bread - mixed rye bread with coarse meal,210,42.983,6.282,0.816,43.517,4.562,422
B273000,Graubrot-Roggenmischtoastbrot mit Schrotanteilen,Brown bread - mixed rye toast with coarse meal,242,37.779,7.043,3.404,45.131,4.661,436
B274000,Graubrot-Roggenmischtoastbrot,Brown bread - mixed rye toast,243,37.801,6.825,3.381,45.72,4.335,436
B275100,Graubrot-Roggenmischbrot mit Soja,Brown bread - mixed rye bread with soya,232,35.553,9.332,2.239,42.92,7.275,545
B275200,Graubrot-Roggenmischbrot mit Kleie,Brown bread - mixed rye bread with bran,210,40.137,6.304,1.5,42.127,7.36,511
B275500,Graubrot-Roggenmischbrot mit Zwiebeln,Brown bread - mixed rye bread with onions,218,39.374,7.176,0.946,44.504,5.945,569
B275600,Graubrot-Roggenmischbrot mit Gewürzen,Brown bread - mixed rye bread with spices,227,36.965,7.381,1.047,46.315,6.094,570
B275700,Graubrot-Roggenmischbrot mit Kümmel,Brown bread - mixed rye bread with caraway seeds,229,36.673,7.788,1.418,45.569,6.317,569
B275800,Graubrot-Roggenmischbrot mit Malz,Brown bread - mixed rye bread with malt,227,37.293,7.231,0.971,46.604,5.854,566
B276000,Graubrot-Roggenmischbrot mit Ölsamenzutaten,Brown bread - mixed rye bread with oilseeds,244,35.095,8.767,2.846,45.027,6.078,544
B276100,Graubrot-Roggenmischbrot mit Weizenkeimen,Brown bread - mixed rye bread with wheat germ,234,34.194,9.315,1.718,44.467,7.151,535
B276200,Graubrot-Roggenmischbrot mit Leinsamen,Brown bread - mixed rye bread with linseeds,234,36.275,8.035,2.533,44.173,6.83,565
B276300,Graubrot-Roggenmischbrot mit Sesam,Brown bread - mixed rye bread with sesame seeds,250,34.966,8.381,4.631,43.209,6.476,548
B276400,Graubrot-Roggenmischbrot mit Mohn,Brown bread - mixed rye bread with poppy seeds,236,36.056,8.103,2.783,44.018,6.733,563
B276500,Graubrot-Roggenmischbrot mit Sonnenblumenkernen,Brown bread - mixed rye bread with sunflower seeds,244,35.095,8.767,2.846,45.027,6.078,544
B276600,Graubrot-Roggenmischbrot mit Mandeln,Brown bread - mixed rye bread with almonds,241,36.148,8.112,3.259,44.083,6.331,562
B277100,Graubrot-Roggenmischbrot mit Milch,Brown bread - mixed rye bread with milk,230,39.489,7.085,1.914,45.234,4.204,433
B277200,Graubrot-Roggenmischbrot mit Sauermilch,Brown bread - mixed rye bread with soured milk,216,41.962,6.375,1.125,44.379,4.227,425
B277300,Graubrot-Roggenmischbrot mit Buttermilch,Brown bread - mixed rye bread with buttermilk,214,42.21,6.388,0.84,44.404,4.23,427
B277400,Graubrot-Roggenmischbrot mit Joghurt,Brown bread - mixed rye bread with yogurt,217,41.866,6.419,1.149,44.404,4.226,425
B277500,Graubrot-Roggenmischbrot mit Kefir,Brown bread - mixed rye bread with kefir,216,41.974,6.368,1.125,44.361,4.229,426
B277600,Graubrot-Roggenmischbrot mit Molke,Brown bread - mixed rye bread with whey,213,42.464,6.137,0.815,44.495,4.232,426
B277700,Graubrot-Roggenmischbrot mit Quark,Brown bread - mixed rye bread with quark,216,41.57,6.77,0.793,44.581,4.144,557
B277800,Graubrot-Roggenmischbrot mit Milcheiweiß,Brown bread - mixed rye bread with milk protein,232,35.824,8.82,0.97,46.092,5.782,586
B278400,Graubrot-Roggenmischbrot mit Butter,Brown bread - mixed rye bread with butter,249,36.539,7.06,4.886,43.695,5.81,560
B291000,Graubrot-Mehrkornbrot,Brown bread - multigrain bread,244,33.355,7.912,1.426,48.99,6.165,491
B291072,Graubrot-Mehrkornbrot geröstet,Brown bread - multigrain bread toasted,248,32.224,8.046,1.45,49.821,6.27,499
B291082,Graubrot-Mehrkornbrot gebraten (zubereitet ohne Fett),Brown bread - multigrain bread fried (prepared without fat),244,33.355,7.912,1.426,48.99,6.165,491
B300000,Weißbrote,White breads,242,36.897,8.2,1.199,48.843,3.19,540
B302000,Weißbrot mit Schrotanteilen,White bread with coarse meal,238,38.913,7.388,1.345,48.164,2.676,428
B303000,Weißbrot-Toastbrot mit Schrotanteilen,White bread - toast with coarse meal,256,36.367,7.929,3.394,47.683,2.924,434
B304000,Weißbrot-Toastbrot,White bread - toast,261,34.799,8.29,3.59,48.101,3.2,598
B305100,Weißbrot mit Soja,White bread with soya,248,34.905,10.091,2.451,45.691,4.58,500
B305200,Weißbrot mit Kleie,White bread with bran,239,35.321,8.642,1.394,47.08,5.562,510
B305400,Weißbrot mit Rosinen,White bread with raisins,247,35.267,7.726,1.145,50.425,3.356,497
B305500,Weißbrot mit Zwiebeln,White bread with onions,235,38.795,7.956,1.166,47.317,3.128,521
B306000,Weißbrot mit Ölsamen,White bread with oilseeds,260,34.444,9.527,3.058,47.798,3.383,500
B306100,Weißbrot mit Weizenkeimen,White bread with wheat germ,250,33.556,10.06,1.926,47.188,4.506,491
B307100,Weißbrot mit Milch,White bread with milk,259,35.243,8.303,2.435,50.06,2.23,439
B308200,Weißbrot mit Fett und Zucker,White bread with fat and sugar,261,35.245,7.755,3.486,48.92,3.009,510
B308600,Weißbrot mit Schinken,White bread with ham,239,37.857,8.617,1.272,47.452,3.097,552
B309000,Weißbrot glutenfrei,White bread gluten free,254,36.321,1.401,1.935,56.862,2.421,293
B311000,Weißbrot-Weizenbrot,White bread - wheat bread,242,36.897,8.2,1.199,48.843,3.19,540
B311072,Weißbrot-Weizenbrot geröstet,White bread - wheat bread toasted,247,35.71,8.354,1.222,49.761,3.25,550
B311082,Weißbrot-Weizenbrot gebraten (zubereitet ohne Fett),White bread - wheat bread fried (prepared without fat),242,36.897,8.2,1.199,48.843,3.19,540
B312000,Weißbrot-Weizenbrot mit Schrotanteilen,White bread - wheat bread with coarse meal,238,38.913,7.388,1.345,48.164,2.676,428
B313000,Weißbrot-Weizentoastbrot mit Schrotanteilen,White bread - wheat toast with coarse meal,256,36.367,7.929,3.394,47.683,2.924,434
B314000,Weißbrot-Weizentoastbrot,White bread - wheat toast,261,34.8,8.29,3.59,48.101,3.2,598
B314072,Weißbrot-Weizentoastbrot geröstet,White bread - wheat toast toasted,265,33.643,8.437,3.654,48.953,3.257,609
B315100,Weißbrot-Weizenbrot mit Soja,White bread - wheat bread with soya,248,34.905,10.091,2.451,45.691,4.58,500
B315200,Weißbrot-Weizenbrot mit Kleie,White bread - wheat bread with bran,239,35.321,8.642,1.394,47.08,5.562,510
B315400,Weißbrot-Weizenbrot mit Rosinen,White bread - wheat bread with raisins,247,35.267,7.726,1.145,50.425,3.356,497
B315500,Weißbrot-Weizenbrot mit Zwiebeln,White bread - wheat bread with onions,235,38.795,7.956,1.166,47.317,3.128,521
B316000,Weißbrot-Weizenbrot mit Ölsamenzutaten,White bread - wheat bread with oilseeds,260,34.444,9.527,3.058,47.798,3.383,500
B316100,Weißbrot-Weizenbrot mit Weizenkeimen,White bread - wheat bread with wheat germ,250,33.556,10.06,1.926,47.188,4.506,491
B316200,Weißbrot-Weizenbrot mit Leinsamen,White bread - wheat bread with linseeds,257,34.698,9.252,3.838,45.768,4.649,504
B316300,Weißbrot-Weizenbrot mit Sesam,White bread - wheat bread with sesame seeds,267,34.313,9.14,4.844,45.981,3.782,503
B316400,Weißbrot-Weizenbrot mit Mohn,White bread - wheat bread with poppy seeds,253,35.321,8.915,3.077,46.798,3.983,516
B316500,Weißbrot-Weizenbrot mit Sonnenblumenkernen,White bread - wheat bread with sunflower seeds,260,34.444,9.527,3.058,47.798,3.383,500
B316600,Weißbrot-Weizenbrot mit Mandeln,White bread - wheat bread with almonds,258,35.417,8.925,3.572,46.866,3.564,515
B317100,Weißbrot-Weizenbrot mit Milch,White bread - wheat bread with milk,259,35.243,8.303,2.435,50.06,2.23,439
B317200,Weißbrot-Weizenbrot mit Sauermilch,White bread - wheat bread with soured milk,245,37.798,7.571,1.615,49.196,2.243,432
B317300,Weißbrot-Weizenbrot mit Buttermilch,White bread - wheat bread with buttermilk,243,38.049,7.585,1.32,49.226,2.244,433
B317400,Weißbrot-Weizenbrot mit Joghurt,White bread - wheat bread with yogurt,246,37.699,7.616,1.64,49.221,2.242,431
B317500,Weißbrot-Weizenbrot mit Kefir,White bread - wheat bread with kefir,245,37.808,7.564,1.616,49.179,2.244,431
B317600,Weißbrot-Weizenbrot mit Molke,White bread - wheat bread with whey,241,38.316,7.323,1.293,49.324,2.245,432
B317700,Weißbrot-Weizenbrot mit Quark,White bread - wheat bread with quark,244,37.795,8.127,1.285,49.01,2.243,430
B318200,Weißbrot-Weizenbrot mit Fett und Zucker,White bread - wheat bread with fat and sugar,261,35.245,7.755,3.486,48.92,3.009,510
B318400,Weißbrot-Weizenbrot mit Butter,White bread - wheat bread with butter,266,35.869,7.841,5.104,46.546,3.038,515
B318600,Weißbrot-Weizenbrot mit Schinken,White bread - wheat bread with ham,239,37.857,8.617,1.272,47.452,3.097,552
B400000,Vollkornbrötchen (allgemein),Wholemeal rolls (general),219,38.611,8.341,1.537,42.351,6.655,543
B401000,Vollkornbrötchen,Wholemeal roll,219,38.611,8.341,1.537,42.351,6.655,543
B405100,Vollkornbrötchen mit Soja,Wholemeal roll with soya,225,37.017,9.755,2.46,40.342,7.508,513
B405200,Vollkornbrötchen mit Kleie,Wholemeal roll with bran,217,36.965,8.768,1.71,40.978,8.796,513
B405400,Vollkornbrötchen mit Rosinen,Wholemeal roll with raisins,226,36.84,7.855,1.456,44.469,6.535,500
B405500,Vollkornbrötchen mit Zwiebeln,Wholemeal roll with onions,213,40.451,8.092,1.492,41.05,6.472,524
B405600,Vollkornbrötchen mit Gewürzen,Wholemeal roll with spices,222,37.907,8.308,1.598,42.964,6.629,525
B405700,Vollkornbrötchen mit Kümmel,Wholemeal roll with caraway seeds,224,37.597,8.739,1.991,42.175,6.865,525
B406000,Vollkornbrötchen mit Ölsamenzutaten,Wholemeal roll with oilseeds,231,37.046,9.139,2.649,42.009,6.617,519
B406100,Vollkornbrötchen mit Weizenkeimen,Wholemeal roll with wheat germ,225,36.469,9.473,1.964,41.698,7.268,513
B406200,Vollkornbrötchen mit Leinsamen,Wholemeal roll with linseeds,230,37.215,8.966,3.106,40.796,7.375,521
B406300,Vollkornbrötchen mit Sesam,Wholemeal roll with sesame seeds,235,36.969,8.905,3.73,40.908,6.858,521
B406400,Vollkornbrötchen mit Mohn,Wholemeal roll with poppy seeds,231,36.989,9.036,3.362,40.638,7.277,520
B406500,Vollkornbrötchen mit Sonnenblumenkernen,Wholemeal roll with sunflower seeds,231,37.046,9.139,2.649,42.009,6.617,519
B406600,Vollkornbrötchen mit Mandeln,Wholemeal roll with almonds,236,37.083,9.045,3.848,40.705,6.866,519
